Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,16.450001,16.49,16.25,16.43,114888000,16.1768
2016-01-05,16.52,16.59,16.23,16.43,66670000,16.1768
2016-01-06,16.190001,16.290001,16.02,16.08,102760800,15.832194
2016-01-07,15.73,15.9,15.44,15.5,116255900,15.261132
2016-01-08,15.94,15.94,15.16,15.2,124782400,14.965755
2016-01-11,15.26,15.37,14.94,15.31,104611700,15.07406
2016-01-12,15.54,15.58,15.06,15.31,100023500,15.07406
2016-01-13,15.47,15.52,14.85,14.9,119413000,14.670378
2016-01-14,15.01,15.2,14.65,14.99,125920000,14.758991
2016-01-15,14.41,14.66,14.13,14.46,170939300,14.237159
2016-01-19,14.69,14.79,14.01,14.24,185727400,14.020549
2016-01-20,13.79,14.0,13.27,13.69,250537600,13.479025
2016-01-21,13.67,13.84,13.25,13.36,188976000,13.154111
2016-01-22,13.65,13.72,13.47,13.56,169999800,13.351029
2016-01-25,13.54,13.55,12.94,12.96,186419100,12.760276
2016-01-26,13.07,13.35,13.04,13.31,124246900,13.104882
2016-01-27,13.2,13.73,13.19,13.36,124095800,13.154111
2016-01-28,13.59,13.71,13.26,13.53,110996200,13.321491
2016-01-29,13.66,14.15,13.59,14.14,159984100,13.922091
2016-02-01,14.05,14.09,13.8,13.96,105739400,13.744865
2016-02-02,13.74,13.75,13.13,13.23,147101200,13.026114
2016-02-03,13.28,13.29,12.52,13.03,257664600,12.829196
2016-02-04,12.89,13.59,12.89,13.25,179394400,13.045806
2016-02-05,13.32,13.39,12.89,12.95,125842800,12.750429
2016-02-08,12.67,12.7,12.13,12.27,221363600,12.080909
2016-02-09,11.99,12.43,11.96,12.2,247349000,12.011988
2016-02-10,12.42,12.54,11.91,11.98,227530000,11.795378
2016-02-11,11.46,11.55,10.99,11.16,375088700,10.988015
2016-02-12,11.48,12.03,11.4,11.95,245388400,11.76584
2016-02-16,12.38,12.39,12.11,12.25,194306700,12.061217
2016-02-17,12.57,12.69,12.47,12.56,221859400,12.36644
2016-02-18,12.71,12.74,12.1,12.24,161539400,12.051371
2016-02-19,12.22,12.24,11.98,12.13,121045600,11.943067
2016-02-22,12.13,12.54,12.13,12.54,88865500,12.346748
2016-02-23,12.47,12.48,12.1,12.16,104498700,11.972604
2016-02-24,11.96,12.15,11.65,12.13,159552800,11.943067
2016-02-25,12.14,12.33,12.09,12.32,103054600,12.130138
2016-02-26,12.49,12.95,12.4,12.7,160314400,12.504282
2016-02-29,12.7,12.86,12.51,12.52,123661100,12.327057
2016-03-01,12.64,13.21,12.62,13.19,153558200,12.986731
2016-03-02,13.2,13.51,13.13,13.41,139622500,13.253581
2016-03-03,13.38,13.55,13.25,13.5,105082700,13.342532
2016-03-04,13.76,13.89,13.49,13.54,171410900,13.382065
2016-03-07,13.45,13.62,13.37,13.53,97650300,13.372181
2016-03-08,13.4,13.47,13.05,13.06,125894800,12.907664
2016-03-09,13.17,13.27,13.0,13.14,92253800,12.986731
2016-03-10,13.23,13.4,13.0,13.27,123016200,13.115215
2016-03-11,13.44,13.84,13.37,13.79,120400600,13.629149
2016-03-14,13.72,13.74,13.49,13.64,87746800,13.480899
2016-03-15,13.51,13.6,13.39,13.57,80404000,13.411715
2016-03-16,13.51,13.81,13.09,13.31,149645400,13.154748
2016-03-17,13.22,13.48,13.05,13.4,122212300,13.243698
2016-03-18,13.68,13.88,13.55,13.79,146616200,13.629149
2016-03-21,13.8,14.03,13.72,13.84,104695700,13.678566
2016-03-22,13.67,13.84,13.63,13.76,83252100,13.599499
2016-03-23,13.77,13.83,13.6,13.62,95789700,13.461132
2016-03-24,13.41,13.69,13.27,13.68,94836500,13.520432
2016-03-28,13.73,13.74,13.54,13.62,54498500,13.461132
2016-03-29,13.54,13.54,13.26,13.42,101606800,13.263465
2016-03-30,13.49,13.66,13.46,13.48,85897000,13.322764
2016-03-31,13.49,13.71,13.45,13.52,79592100,13.362299
2016-04-01,13.47,13.65,13.32,13.56,73130900,13.401832
2016-04-04,13.54,13.65,13.41,13.51,59709600,13.352415
2016-04-05,13.3,13.34,13.16,13.19,78445900,13.036147
2016-04-06,13.2,13.3,13.11,13.27,62558500,13.115215
2016-04-07,13.15,13.21,12.75,12.85,105704500,12.700114
2016-04-08,13.03,13.14,12.86,12.88,76548100,12.729764
2016-04-11,12.92,13.09,12.88,12.97,79411500,12.818714
2016-04-12,13.0,13.33,12.93,13.27,100791600,13.115215
2016-04-13,13.55,13.85,13.53,13.79,138647200,13.629149
2016-04-14,13.71,14.28,13.7,14.14,179383300,13.975067
2016-04-15,14.27,14.29,13.95,14.0,87958700,13.836699
2016-04-18,13.85,14.24,13.82,14.17,80257400,14.004717
